label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42
7,0.0,0.0,0.17857142857142858,0.15178571428571427,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23214285714285715,0.21428571428571427,0.09821428571428571,0.11607142857142858,0.03571428571428571,0.0,0.07142857142857142
9,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044642857142857144,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.22321428571428573,0.23214285714285715,0.09821428571428571,0.03571428571428571,0.0,0.04336734693877551
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.08035714285714286,0.1875,0.03571428571428571,0.008928571428571428,0.0,0.04081632653061224
3,0.0,0.0,0.125,0.13392857142857142,0.1875,0.0,0.0,0.0,0.0,0.017857142857142856,0.044642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.14285714285714285,0.10714285714285714,0.16071428571428573,0.14285714285714285,0.0,0.0663265306122449
2,0.0,0.0,0.2767857142857143,0.25892857142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.05357142857142857,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,0.11607142857142858,0.0,0.0,0.0,0.15178571428571427,0.15178571428571427,0.20535714285714285,0.3482142857142857,0.08928571428571429,0.0,0.08163265306122448
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29464285714285715,0.4375,0.2857142857142857,0.0,0.0,0.0,0.08928571428571429,0.20535714285714285,0.13392857142857142,0.16071428571428573,0.07142857142857142,0.0,0.05357142857142857
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.19642857142857142,0.07142857142857142,0.0,0.0,0.0,0.08928571428571429,0.3482142857142857,0.23214285714285715,0.29464285714285715,0.10714285714285714,0.0,0.04846938775510204
3,0.0,0.0,0.14285714285714285,0.0625,0.15178571428571427,0.0,0.0,0.0,0.0,0.0,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.17857142857142858,0.23214285714285715,0.1875,0.15178571428571427,0.0,0.07525510204081633
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0625,0.24107142857142858,0.3482142857142857,0.36607142857142855,0.16071428571428573,0.0,0.05102040816326531
3,0.0,0.0,0.14285714285714285,0.125,0.19642857142857142,0.017857142857142856,0.0,0.0,0.0,0.026785714285714284,0.044642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09821428571428571,0.08035714285714286,0.08035714285714286,0.05357142857142857,0.07142857142857142,0.0,0.05357142857142857
9,0.0,0.0,0.0,0.008928571428571428,0.026785714285714284,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.03571428571428571,0.0,0.0,0.0,0.0,0.09821428571428571,0.14285714285714285,0.22321428571428573,0.08035714285714286,0.03571428571428571,0.0,0.047193877551020405
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.10714285714285714,0.13392857142857142,0.2767857142857143,0.11607142857142858,0.0,0.047193877551020405
5,0.0,0.0,0.0,0.10714285714285714,0.20535714285714285,0.0,0.0,0.0,0.0,0.09821428571428571,0.07142857142857142,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.33035714285714285,0.25,0.19642857142857142,0.125,0.0,0.08035714285714286
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.10714285714285714,0.0625,0.0,0.0,0.0,0.0,0.0,0.08035714285714286,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.026785714285714284,0.08928571428571429,0.16964285714285715,0.375,0.08035714285714286,0.0,0.0625
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16964285714285715,0.33035714285714285,0.2767857142857143,0.0,0.0,0.0,0.09821428571428571,0.20535714285714285,0.16964285714285715,0.19642857142857142,0.15178571428571427,0.0,0.05229591836734694
5,0.0,0.0,0.0,0.16964285714285715,0.19642857142857142,0.0,0.0,0.0,0.0,0.15178571428571427,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19642857142857142,0.0,0.0,0.0,0.0,0.0,0.044642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13392857142857142,0.2857142857142857,0.20535714285714285,0.16071428571428573,0.11607142857142858,0.0,0.08928571428571429
3,0.0,0.0,0.09821428571428571,0.16071428571428573,0.14285714285714285,0.0,0.0,0.0,0.0,0.008928571428571428,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.05357142857142857,0.15178571428571427,0.0,0.0,0.0,0.0,0.09821428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.22321428571428573,0.17857142857142858,0.25892857142857145,0.10714285714285714,0.0,0.08290816326530612
5,0.0,0.0,0.0,0.11607142857142858,0.21428571428571427,0.0,0.0,0.0,0.0,0.14285714285714285,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.25892857142857145,0.1875,0.13392857142857142,0.11607142857142858,0.0,0.07397959183673469
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.16071428571428573,0.017857142857142856,0.008928571428571428,0.0,0.0,0.0,0.08928571428571429,0.11607142857142858,0.10714285714285714,0.10714285714285714,0.05357142857142857,0.0,0.04591836734693878
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08035714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026785714285714284,0.13392857142857142,0.0,0.0,0.0,0.044642857142857144,0.14285714285714285,0.3392857142857143,0.26785714285714285,0.11607142857142858,0.0,0.05102040816326531
3,0.0,0.0,0.09821428571428571,0.15178571428571427,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1875,0.21428571428571427,0.1875,0.13392857142857142,0.0,0.07397959183673469
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20535714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.14285714285714285,0.19642857142857142,0.26785714285714285,0.07142857142857142,0.026785714285714284,0.0,0.05229591836734694
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.03571428571428571,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05357142857142857,0.13392857142857142,0.10714285714285714,0.11607142857142858,0.044642857142857144,0.0,0.042091836734693876
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.14285714285714285,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,0.026785714285714284,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05357142857142857,0.07142857142857142,0.08928571428571429,0.20535714285714285,0.044642857142857144,0.0,0.05229591836734694
3,0.0,0.0,0.15178571428571427,0.3125,0.24107142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.24107142857142858,0.13392857142857142,0.19642857142857142,0.16964285714285715,0.0,0.0778061224489796
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08928571428571429,0.19642857142857142,0.13392857142857142,0.0,0.0,0.0,0.08928571428571429,0.25,0.22321428571428573,0.25,0.10714285714285714,0.0,0.04846938775510204
